Unofficial Results Add on #5 - Projected Outstanding Ballots 90,000      (Next Update 3/10/20 5PM or later)
Contest Name,Number Of Precincts,Precincts Reported,Ballots Cast
"PRESIDENT OF THE UNITED STATES  REPUBLICAN","1862","1862","262275"
"PRESIDENT OF THE UNITED STATES  DEMOCRATIC","1862","1862","427308"
"PRESIDENT OF THE UNITED STATES  AMERICAN INDEPENDENT","1862","1862","19660"
"PRESIDENT OF THE UNITED STATES  PEACE & FREEDOM","1862","1862","791"
"PRESIDENT OF THE UNITED STATES  LIBERTARIAN","1862","1862","5180"
"PRESIDENT OF THE UNITED STATES  GREEN","1862","1862","1560"
"UNITED STATES REPRESENTATIVE 49TH DISTRICT","326","326","152428"
"UNITED STATES REPRESENTATIVE 50TH DISTRICT","375","375","169505"
"UNITED STATES REPRESENTATIVE 51ST DISTRICT","267","267","73829"
"UNITED STATES REPRESENTATIVE 52ND DISTRICT","435","435","215203"
"UNITED STATES REPRESENTATIVE 53RD DISTRICT","459","459","187021"
"STATE SENATOR 39TH DISTRICT","605","605","282689"
"MEMBER OF THE STATE ASSEMBLY 71ST DISTRICT","285","285","110885"
"MEMBER OF THE STATE ASSEMBLY 75TH DISTRICT","201","201","93414"
"MEMBER OF THE STATE ASSEMBLY 76TH DISTRICT","249","249","128223"
"MEMBER OF THE STATE ASSEMBLY 77TH DISTRICT","308","308","147691"
"MEMBER OF THE STATE ASSEMBLY 78TH DISTRICT","304","304","143124"
"MEMBER OF THE STATE ASSEMBLY 79TH DISTRICT","288","288","105728"
"MEMBER OF THE STATE ASSEMBLY 80TH DISTRICT","227","227","68921"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 71ST ASSEMBLY DISTRICT","285","285","36333"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 71ST ASSEMBLY DISTRICT","285","285","54256"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 75TH ASSEMBLY DISTRICT","201","201","33386"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 75TH ASSEMBLY DISTRICT","201","201","40874"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 76TH ASSEMBLY DISTRICT","249","249","56376"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 76TH ASSEMBLY DISTRICT","249","249","44152"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 77TH ASSEMBLY DISTRICT","308","308","62552"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 77TH ASSEMBLY DISTRICT","308","308","49290"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 78TH ASSEMBLY DISTRICT","304","304","80048"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 78TH ASSEMBLY DISTRICT","304","304","30536"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 79TH ASSEMBLY DISTRICT","288","288","55348"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 79TH ASSEMBLY DISTRICT","288","288","28448"
"DEMOCRATIC COUNTY CENTRAL COMMITTEE 80TH ASSEMBLY DISTRICT","227","227","40116"
"REPUBLICAN COUNTY CENTRAL COMMITTEE 80TH ASSEMBLY DISTRICT","227","227","14719"
"PEACE & FREEDOM COUNTY CENTRAL COMMITTEE 5TH SUPERVISORIAL DISTRICT","350","350","130"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 18","1862","1862","797986"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 22","1862","1862","797986"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 30","1862","1862","797986"
"JUDGE OF THE SUPERIOR COURT OFFICE NO. 36","1862","1862","797986"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT TRUSTEE AREA 3","51","51","14798"
"GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT TRUSTEE AREA 4","76","76","29972"
"SAN DIEGO COMMUNITY COLLEGE DISTRICT B","125","125","60261"
"SAN DIEGO COMMUNITY COLLEGE DISTRICT D","127","127","40736"
